Country,Political Side,Distance
Chile,Left,-0.2064266255074801
Chile,Left,-0.2618225416128091
Chile,Left,-0.2147497214966109
Chile,Left,0.0030265982154718827
Chile,Left,-0.2530579447281126
Chile,Left,-0.17265048184843002
Chile,Left,-0.30095232342572636
Chile,Left,-0.36019696426203135
Chile,Left,-0.22484007334602785
Chile,Left,0.15834733879176816
Chile,Left,0.3170353319465942
Chile,Left,-0.22053757315245434
Chile,Left,0.3044823737154006
Chile,Left,-0.050322531812354764
Chile,Left,-0.33125285547166583
Chile,Left,-0.3859908422499529
Chile,Left,-0.07811804116499717
Chile,Left,0.27440190798554714
Chile,Left,0.12977490651823628
Chile,Left,-0.23316354307693055
Chile,Left,-0.19276975096268079
Chile,Left,0.030100889989723403
Chile,Left,-0.24755810150264979
Chile,Left,-0.2584448814399776
Chile,Left,-0.32263964389326466
Chile,Left,0.4582070387401383
Chile,Left,-0.11101385165517436
Chile,Left,-0.24320784973902868
Chile,Left,0.009465189927534319
Chile,Left,0.0009083750007011996
Chile,Left,-0.2482884313174937
Chile,Left,-0.07987462850817899
Chile,Left,-0.07987462850817899
Chile,Left,-0.365909159063786
Chile,Left,-0.20752485842071136
Chile,Left,-0.25496382060750183
Chile,Left,-0.2178180602555767
Chile,Left,-0.18237317741304193
Chile,Left,-0.21575386903511032
Chile,Left,-0.21902514296573866
Chile,Left,-0.2267917672360433
Chile,Left,-0.10932586131288793
Chile,Left,-0.021974208051500344
Chile,Left,-0.20525092804506812
Chile,Left,0.12708292777991131
Chile,Left,-0.1495986067833079
Chile,Left,-0.02734253037910178
Chile,Left,0.027831249035716057
Chile,Left,-0.2230456950854873
Chile,Left,-0.25169895088803385
Chile,Left,-0.21047844975992183
Chile,Left,-0.25455594388216357
Chile,Left,-0.17143767759181314
Chile,Left,-0.06829214862764839
Chile,Left,-0.35120781027534903
Chile,Left,-0.24054723696790323
Chile,Left,0.48946918898042746
Chile,Left,-0.3002398106914848
Chile,Left,-0.20417804905658216
Chile,Left,0.1650652540778082
Chile,Left,-0.023957215372115516
Chile,Left,-0.28683539380466827
Chile,Left,-0.09909852448034201
Chile,Left,-0.14886478309057624
Chile,Left,-0.010882317976203742
Chile,Left,-0.16909594549141607
Chile,Left,-0.2627304967152156
Chile,Left,-0.28658370135644656
Chile,Left,-0.06910059688155856
Chile,Left,-0.28159906641729177
Chile,Left,-0.08309824213732313
Chile,Left,-0.12215250096056338
Chile,Left,-0.2778743201566787
Chile,Left,-0.3211385883946892
Chile,Left,-0.3408663053157672
Chile,Left,-0.14890568554204145
Chile,Left,-0.19837307503461424
Chile,Left,-0.23941900800275234
Chile,Left,0.06323385249026482
Chile,Left,0.06323385249026482
Chile,Left,-0.17031512679307545
Chile,Left,0.07479026942394229
Chile,Left,-0.22116008705251247
Chile,Left,-0.23201357367595596
Chile,Left,-0.2440346490941924
