uuid,z1,z2
00bfca46-fcf5-4202-8bfd-bc9b40831137,0.8186663,0.57664776
00c0f598-212e-437d-9d69-ce0de855f129,0.8658845,0.7132875
00c13097-ae1f-4a1c-b14a-a7e49a4b8a77,0.79743797,0.45146552
00c72008-ff32-45df-8b7d-c00bb5fd1ae1,0.4935642,0.43193156
00c721f4-4839-454e-82aa-ca5dbf6d4d15,0.8111254,0.31734133
00c82290-0e97-4922-b5cb-07a4525b9c86,0.9036625,0.51664644
00c86ee5-579c-40d4-8de2-bff15b7f1464,0.8837798,0.5193866
00c8d43a-3a28-4d34-b238-870246b5a15a,0.92603874,0.5091353
00cac9ce-cc47-4cfe-95d8-b69392939f99,0.83377916,0.5539434
00cd9972-a177-42ff-a758-5e741591e7d0,0.86980784,0.32518223
00ceb5fe-6fe6-46e0-8a8f-1daa50c8e811,0.37662986,0.31350467
00cfc381-3989-424f-afcb-bc2ad060e207,0.8186971,0.5393567
00d08d8f-6def-4a59-b617-4e1e0fde3676,0.8939005,0.48716593
00d193a8-dd57-40c0-a974-1351d1439648,0.91754943,0.5651256
00d1aac3-f1f5-440d-99cf-47791de60e0c,0.77876437,0.29036877
00d1f26c-bdd2-45eb-967b-a371aae9f9f0,0.7237364,0.5329361
00d2b452-92f1-4b0c-82ae-2389eb45f7c7,0.68399996,0.311104
00d31cb5-7d81-440b-aa28-712f7c760536,0.78269666,0.6386922
00d62565-aef7-4c9c-8b28-e264a1198954,0.4782062,0.6090946
00d63e7d-ccf6-4d61-b514-a2e315c0757c,0.8662645,0.52973807
00d68c08-0ed9-4e1b-83cf-ae421aa20f39,0.781909,0.59801686
00da3ceb-1672-4b76-8788-9b6334fbe2ef,0.8473086,0.5388368
00dabfa1-fa28-402e-9e25-f71ec182b2c6,0.9026873,0.4269976
00dadbbd-60eb-4407-a33b-96a2b8c26abc,0.55642533,0.19182464
00dbbd3a-7ec5-4e38-b80d-2d0ef00b3c2a,0.7762445,0.61187273
00dd1328-9d7b-4edb-bbd5-274bcb234cde,0.81199145,0.473423
00e0701f-a2e0-49f4-81d2-30304a2d9099,0.8672332,0.605888
00e1e5ae-b896-456d-ac30-df7a87b3d8e6,0.16063836,0.40328956
00e32570-2a20-4b96-9ff7-30d79885e272,0.14218923,0.12045225
00e35a5a-094b-449d-a98b-7d2470ef7b0f,0.7925557,0.66380423
00e50c21-9894-460e-a7bf-32e8d0f01a9d,0.76451266,0.30250442
00e5742a-2bac-4827-8beb-94aa14351725,0.8508495,0.42372197
00e5822a-da00-4e46-ac37-1c0135e166a3,0.7585543,0.7675352
00e70330-649c-431e-8f86-0d805124fc92,0.4223179,0.21396892
00e72132-2591-4ffd-b24e-5f46766477c8,0.651423,0.35013658
