Unnamed: 0,id,uuid,option_a,option_b,selected,datetime,score_x,ip_hash,score_async,option_a_sorted,option_b_sorted,card_id,latest,mean,std,registered,is_bot,transitivity,count,rate,score_y,unique_uuid,n_ips,score_pred,delta,prediction,predicted_prob,rate_bots_same_ip,mean_predicted_prob,mean_prediction
19693,17505,01a124d2-1dc8-4038-93e8-1a1a109e831f,79,36,79,2019-10-24 14:23:13,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,36,79,1036079,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19714,18505,01a124d2-1dc8-4038-93e8-1a1a109e831f,51,85,85,2019-10-24 14:25:03,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,51,85,1051085,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19691,17285,01a124d2-1dc8-4038-93e8-1a1a109e831f,30,39,39,2019-10-24 14:22:49,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,30,39,1030039,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19692,17481,01a124d2-1dc8-4038-93e8-1a1a109e831f,67,20,67,2019-10-24 14:23:09,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,20,67,1020067,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19668,16105,01a124d2-1dc8-4038-93e8-1a1a109e831f,47,44,47,2019-10-24 14:20:45,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,44,47,1044047,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19669,16137,01a124d2-1dc8-4038-93e8-1a1a109e831f,22,61,61,2019-10-24 14:20:49,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,22,61,1022061,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19670,16231,01a124d2-1dc8-4038-93e8-1a1a109e831f,52,1,1,2019-10-24 14:20:58,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,1,52,1001052,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19671,16339,01a124d2-1dc8-4038-93e8-1a1a109e831f,27,85,85,2019-10-24 14:21:09,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,27,85,1027085,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19672,16375,01a124d2-1dc8-4038-93e8-1a1a109e831f,49,16,16,2019-10-24 14:21:14,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,16,49,1016049,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19673,16414,01a124d2-1dc8-4038-93e8-1a1a109e831f,71,43,71,2019-10-24 14:21:17,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,43,71,1043071,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19674,16445,01a124d2-1dc8-4038-93e8-1a1a109e831f,75,90,90,2019-10-24 14:21:20,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,75,90,1075090,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19675,16481,01a124d2-1dc8-4038-93e8-1a1a109e831f,6,28,6,2019-10-24 14:21:24,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,6,28,1006028,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19666,16041,01a124d2-1dc8-4038-93e8-1a1a109e831f,44,89,44,2019-10-24 14:20:37,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,44,89,1044089,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19676,16512,01a124d2-1dc8-4038-93e8-1a1a109e831f,40,26,26,2019-10-24 14:21:27,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,26,40,1026040,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19677,16538,01a124d2-1dc8-4038-93e8-1a1a109e831f,62,10,10,2019-10-24 14:21:30,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,10,62,1010062,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19667,16076,01a124d2-1dc8-4038-93e8-1a1a109e831f,19,81,81,2019-10-24 14:20:41,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,19,81,1019081,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19679,16600,01a124d2-1dc8-4038-93e8-1a1a109e831f,48,54,48,2019-10-24 14:21:37,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,48,54,1048054,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19678,16565,01a124d2-1dc8-4038-93e8-1a1a109e831f,13,50,50,2019-10-24 14:21:33,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,13,50,1013050,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19690,17244,01a124d2-1dc8-4038-93e8-1a1a109e831f,87,81,81,2019-10-24 14:22:45,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,81,87,1081087,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19687,17108,01a124d2-1dc8-4038-93e8-1a1a109e831f,78,11,78,2019-10-24 14:22:31,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,11,78,1011078,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19686,17059,01a124d2-1dc8-4038-93e8-1a1a109e831f,56,36,56,2019-10-24 14:22:26,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,36,56,1036056,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19688,17144,01a124d2-1dc8-4038-93e8-1a1a109e831f,38,19,38,2019-10-24 14:22:34,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,19,38,1019038,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19683,16758,01a124d2-1dc8-4038-93e8-1a1a109e831f,86,66,66,2019-10-24 14:21:54,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,66,86,1066086,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19682,16698,01a124d2-1dc8-4038-93e8-1a1a109e831f,35,59,59,2019-10-24 14:21:48,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,35,59,1035059,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19681,16659,01a124d2-1dc8-4038-93e8-1a1a109e831f,54,68,54,2019-10-24 14:21:44,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,54,68,1054068,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19680,16637,01a124d2-1dc8-4038-93e8-1a1a109e831f,25,69,25,2019-10-24 14:21:41,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,25,69,1025069,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19685,16891,01a124d2-1dc8-4038-93e8-1a1a109e831f,33,49,33,2019-10-24 14:22:07,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,33,49,1033049,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
19689,17167,01a124d2-1dc8-4038-93e8-1a1a109e831f,84,61,61,2019-10-24 14:22:36,,885a9446a16e6935399d3d13666ab5aef0acb340adcb29186d109d734aa47de2b8c7e538d7ca91721ce643a5a9f1e3cdd48049214f765aec56a1f0dc108fb234,,61,84,1061084,1,1.0,0.0,1,0,0.0068493150684931,98,0.5102040816326531,0.9,2,1,0,688,0,0,0.0,0.0,0
35583,44532,01da8447-307e-477e-a74e-698b6706a404,39,10,39,2019-10-24 15:00:05,,e9e44930ca414d6ffb751856f822fc42a5a409abc3bc6d840ed99ea7030a225ee379dc7a726b6335c083fc9965ea4ccc9ad57f9f8e9b44fcc8383e3b33a2b870,,10,39,1010039,1,1.0,0.0,1,0,0.0318352059925093,199,0.8693467336683417,0.9,1,1,0,2348,0,0,0.0,0.0,0
35584,44705,01da8447-307e-477e-a74e-698b6706a404,82,55,55,2019-10-24 15:00:17,,e9e44930ca414d6ffb751856f822fc42a5a409abc3bc6d840ed99ea7030a225ee379dc7a726b6335c083fc9965ea4ccc9ad57f9f8e9b44fcc8383e3b33a2b870,,55,82,1055082,1,1.0,0.0,1,0,0.0318352059925093,199,0.8693467336683417,0.9,1,1,0,2348,0,0,0.0,0.0,0
