id,uuid,ip_hash,sex,age,region,politica,datetime,score
58,da1fdfcd-5ac0-4f39-ae06-4edc5c889a45,0e0adac927a890a630fd0440625b5b9f96e23be9bfbf6bdce1ac4981427d7dce558abfb1d16b94847015abc4b57907ad41d29ed9d304392b28f015c16c1f0ad9,Female,30,Mount Lebanon,5,2019-11-17 04:30:42.010063-03,
59,a77c34e3-f2d4-4c46-adc6-70eeceab4420,e2952c953e8fdf04bc9d94e3dc33ab695a10069ca20ea7b53bc8875926b5759342162ef76a4b3a037d59e7f05bc69f5e6e27cecc701246308d521ea571e571ff,Female,28,North Lebanon,5,2019-11-17 04:43:28.803653-03,
60,10069c3f-4e9e-4055-a8f9-161dc2b74ca9,3596be1c1c519f6a2f7dc3fb98a0335a7328636c7b5936f8cbf6d77706f81c7e15afee2bc7329132c86e67283915ad4fa2fc73324dfb94908f0412a1c8cc5d09,Female,30,Beqaa,5,2019-11-17 04:51:17.147636-03,
61,c51f0262-7c5a-4e5c-a0da-1139e0771152,fcfb29a2a72447e75b456c1948ea1720c94255f3a55f2f2af106183dec25dc3bdd5f46076a5bafd7bd230ae03a2d7241bff8932fefa38735f0d46d3e2288f3ba,Male,31,Mount Lebanon,5,2019-11-17 04:55:41.449793-03,
62,5d8de424-719a-4adf-babd-fe70d296150f,4c29df3859601bb533294cc8572bfcd97d1b036f2d3304a77b56fa4ccf1fd5c66e35bb8ef59e8c68473af36c1aa2bb91a88b1cd6ea6b3cb5a594af218005bc49,Male,40,Mount Lebanon,5,2019-11-17 04:57:40.901646-03,
63,bd97931e-3f56-45c7-8350-d3dd3f5dee6d,20b861c5f95e2877a3989e6fd69eeae27ee8e4973134bf2c9057a4d40bc8b284baf4fecd04949ef18ce51d936c3e094dc959ec9bf5edcf7fe64d2be620e19f47,Male,23,Mount Lebanon,5,2019-11-17 05:01:57.744021-03,
64,8d62f240-07ad-446a-a8c0-f7489dbcc904,21c33df7aaa62fea083d5c240197c2487f4e981a1f85c1f701635ab85c477dd0a2e63d29dfc5dfd76fdcd7485949217b1155afd68b7a22a421991068422965c7,Male,21,South Lebanon,5,2019-11-17 05:34:03.52667-03,
65,37190e43-2966-485a-a052-28e286801618,743d59f13abea35c10b8d2ddb91e604a15892eb5817448eeea5bf003ce17072b1cc4361f00c006802058cb624bc14e74fa7862ca28d07a119467e467b9e93f62,Male,23,Mount Lebanon,5,2019-11-17 05:34:08.896152-03,
66,80816dc0-302b-49ee-8204-a28f264abd27,d91153aba514af979c70a2f47c737d2f6a2b9427d2038968ee3e41b02e76cd4702e6ca50d1389922ef82abbca01ec2eace6d7486d1e32f64e296b638213604e5,Male,55,Beirut,5,2019-11-17 05:51:29.671613-03,
67,1e75d1f0-8129-4e7c-bd35-cd84757b20ab,10a1f8bb38a7dad96d2801eb1bf27295656e6930e1b2d2d0488ff93adcea5efa82cf5501a8801097aef27409d8cc853596e62ba00fb62ae6f2cd81585e839ab5,Female,27,Beirut,5,2019-11-17 05:57:19.525926-03,
68,2fba3ad2-c7dc-4cd5-93a5-bfb9819148f3,f83cdc3b4ce65467568fcb75ce2c2b390a716f9e8f7da562c76e8b40a26748cbdfb71307dbfe2f65843acbd92b4b67b94eee8fc3db58807ef37bb7dc94564cda,Male,29,South Lebanon,5,2019-11-17 06:01:43.123661-03,
