id,uuid,ip_hash,sex,age,region,politica,datetime,score,zone
738,11096cf2-2fd8-41ee-bfc6-e71cf3f2d841,3ddf6635e7fafc953e18e4d0a64e1cf228c9d59e743d5c2469e9b5bee92fea3ba0b4e096f9fa13b77a2272190223849527c75eb8b6db4715755d48694a83ccc8,Femenino,40,Bogotá D.C.,1,2019-12-19 15:20:57.995208-05,,Ciudad
740,51dbad11-885f-4955-9f1c-fd1f395126ed,8facc4a3c8e7470712e4b1b9418b047a75b9027256e89a1aae95cb7f53dde343f204698ead81758c59eb9067084d6c676836e7eb1b7331d0e2e460876ddaf1ef,Masculino,29,Bogotá D.C.,5,2019-12-19 15:39:41.505794-05,,Ciudad
741,0a443a0a-c5db-476b-a356-6d0d8dde6e55,6d43f9fc48f465e06e8a59655ce9bc651ef658a111e7e02e2126e3f26b7f2dc54698216a4542b6093a995d58ac472396589bb1e8ad6758f7377df14d598ce819,Masculino,44,Antioquia,5,2019-12-19 15:49:42.049426-05,,Ciudad
747,6d7e2e0b-7f7f-4f29-8e24-daa0ec7a23b8,f993108ee1f8dabb66594f6b44ba032ab33e42e161689d620f4fae227b0964bba78c703b83f93871085330f697f9db37d09abb2aa6d1f10a831c15cc03695cd3,Masculino,26,Bogotá D.C.,5,2019-12-19 17:20:58.778936-05,,Ciudad
750,1ecb02f5-8d13-407a-9908-246698953c4f,deee4999f484adcac8080b0fcc4fe3c76c91f9e0636500d4ad6a4296520b8eaf38f56407758e5b2e2f7b1539b753bb53bcde6c35fce38465092e51c3d7fcd208,Femenino,35,Bogotá D.C.,10,2019-12-19 18:09:22.866598-05,,Ciudad
753,88048f8f-ed0c-4523-9f4c-0c26f559ba4e,e4ee8eb26fae09878f7adeef4f2a90b07a32c08ac9c5b04cbae07e60193628c288e490f6a750535f693c256dfb69d6b4edacc946f9ff7cfd0bae1dabb37ee8c6,Masculino,19,Santander,4,2019-12-19 20:03:08.745622-05,,Ciudad
755,a8823e1a-59e3-404d-abaa-a0a34bc58e12,6b3bf5513f68d80a8512bacf7b7b115c67213e7d08ed00e33d11e1a95b66c63db967d7d25b6fc2d99e8ee4934848d30646803eeabaeeca4dbb9d5e469667bca9,Masculino,42,Bogotá D.C.,5,2019-12-20 00:41:25.702665-05,,Ciudad
757,220ff6a4-1052-4df0-8a5f-78ce55b738bf,a1261089258965d7d3513ac4b73c10fa952ac58bf26d8477c468a4894a7992a217c66e0cc61e1a2118afec3cd42213ec31bb8d9d4ec3b13ad8f541a9b2c62eb6,Femenino,57,Bogotá D.C.,3,2019-12-20 08:46:38.041825-05,,Centro Urbano
765,6e18e701-d4eb-42aa-b4b4-6e61967959e7,c1f2fd056d185e16cc3b7729118cb20b584817ffa4460d03e5834f7e700d9e08c6e58c9eb7438fdb40fbfc40500931205c837042cea115025484e37b24d72ebb,Femenino,36,Bogotá D.C.,5,2019-12-20 19:38:25.788955-05,,Ciudad
767,f6107112-94c8-4b31-9a04-2823083d2006,5625d45a1e8a524bcf30bfae01bc95a54e33027571fb017540a1470525c10e13c85486e6d8a540c4ece1534a1f95caf93f0c37907c4fd622c1ceeec8d2418c6d,Femenino,32,Quindío,5,2019-12-21 01:48:25.586692-05,,Ciudad
769,c88d6a29-5cd8-41e4-b298-39c220d72653,83a2c2526ced259ba8ab398a5e4b23e7dd19c376cca2e2d6406c0b596f82ffcdacae5947f7fe8a502a8ac02a54e9f68a9069d4d236e568a8e74f45f1087e50c7,Femenino,32,Bogotá D.C.,5,2019-12-21 08:00:47.021929-05,,Ciudad
770,b1ee8344-6af6-485f-a194-dab6e7e68a17,4ed569983db49643fdec923bf1f388ffc62cff6cdb19a37caf53411d4446a2b9a2fe2456405e0b7a82979c285b7c64d8c4fd04a036809837b8350c0f0e0caaed,Femenino,30,Bogotá D.C.,3,2019-12-21 09:45:23.667635-05,,Ciudad
775,8aca0913-d971-4d1a-a92c-e0473fc1caf3,d07f5fdeb9067b8d8d63ce263f8fa3963feafbfebb8a2fde2287446cc03382a211dbb0189fa893cdc284b2509f4aa48f08e6d0e539a7a6a88cbae4918d994c60,Femenino,20,Bogotá D.C.,5,2019-12-21 17:15:37.202403-05,,Ciudad
776,9ada975c-2900-49bf-87aa-72e7857c696a,8d59f72d84da9c1d18a06857d11ae859bb3fa001d56b2f5197d66484b2a2e4416be753659ad471b06d459b0813bb72254b70ba4898e0328f058b6baaef841909,Masculino,39,Bogotá D.C.,4,2019-12-21 17:54:52.432877-05,,Ciudad
778,60c54c33-87c3-46d6-a73f-0712fa7e785f,313be71b4e48efc17e5d0a7cad12f56725def5ef04dec34b719e01449cdc27fc1e2d56dbc50a5487c9b31a42360513f9e915d055810c6e8a8a7dade4cf538d8d,Masculino,57,Cundinamarca,5,2019-12-21 19:26:53.301515-05,,Centro Urbano
