id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
97,641f2efd-19b8-4a40-aa48-dd9edec3d3cf,Masculino,40,Metropolitana de Santiago,10,2019-10-24 12:09:28.12486-03,,,0.56829995,0.54083776
100,641f2efd-19b8-4a40-aa48-dd9edec3d3cf,Masculino,40,Metropolitana de Santiago,10,2019-10-24 12:09:37.455878-03,,,0.56829995,0.54083776
101,b7b0b844-1331-4835-9aa3-0dab4ca29909,Femenino,43,Metropolitana de Santiago,3,2019-10-24 12:09:38.280668-03,,,0.5206828,0.47637233
107,b7b0b844-1331-4835-9aa3-0dab4ca29909,Femenino,43,Metropolitana de Santiago,3,2019-10-24 12:09:44.349606-03,,,0.5206828,0.47637233
108,2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío,6,2019-10-24 12:09:46.910266-03,,,0.53350157,0.63774824
109,2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío,6,2019-10-24 12:09:48.823932-03,,,0.53350157,0.63774824
110,2256a9dd-ea95-45d0-9b25-63fb94de44f1,Masculino,28,Biobío,6,2019-10-24 12:09:52.972136-03,,,0.53350157,0.63774824
111,96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso,7,2019-10-24 12:09:59.259428-03,,,0.43252364,0.5577368
112,96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso,7,2019-10-24 12:10:02.252502-03,,,0.43252364,0.5577368
113,96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso,7,2019-10-24 12:10:07.522881-03,,,0.43252364,0.5577368
114,96a4662f-ce8c-4023-be3b-eb641c22c91e,Masculino,25,Valparaíso,7,2019-10-24 12:10:07.782813-03,,,0.43252364,0.5577368
120,a4c3e3f2-3a30-4d28-bd8f-78f336a268c6,Masculino,50,Metropolitana de Santiago,3,2019-10-24 12:21:54.809964-03,,,0.4636755,0.39740193
121,a4983451-9811-4d4b-b989-c2b2e53c0a12,Masculino,26,Metropolitana de Santiago,6,2019-10-24 12:22:15.520459-03,,,0.4977743,0.6999782
123,a1a608af-5655-4109-9e54-a31e686a37a5,Masculino,53,Metropolitana de Santiago,5,2019-10-24 12:23:04.193021-03,,,0.4320478,0.41476732
124,b2a87b94-8eaa-4890-8b88-4f24357e1dd7,Masculino,28,Valparaíso,2,2019-10-24 12:23:53.592648-03,,,0.5405389,0.48775256
125,0757f03f-f611-45df-80a9-6d54408b887d,Masculino,33,Metropolitana de Santiago,4,2019-10-24 12:23:59.725721-03,,,0.5062507,0.4992736
127,59b0cae5-4605-4d5a-ad0a-30103314b751,Femenino,34,Metropolitana de Santiago,2,2019-10-24 12:24:04.765197-03,,,0.44720724,0.48581678
128,f57c07c0-d163-415c-8055-7a8e246e4758,Femenino,52,Biobío,3,2019-10-24 12:24:10.257994-03,,,0.5092111,0.4365687
129,a8a3907e-dd72-410c-b6a1-b5b1570d3bb4,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:24:14.843802-03,,,0.58207697,0.35514227
130,a8a3907e-dd72-410c-b6a1-b5b1570d3bb4,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:24:18.509354-03,,,0.58207697,0.35514227
133,ed237e82-9532-4d91-98ac-07516070693c,Femenino,29,Fuera de Chile,5,2019-10-24 12:24:38.513907-03,,,0.6356719,0.46778345
134,4805d147-7a14-4825-b49a-bcf205a552c6,Masculino,30,Fuera de Chile,0,2019-10-24 12:24:45.215081-03,,,0.5278322,0.4345781
135,99ac3b85-72eb-4b6c-b933-68cbd2838dbd,Masculino,27,Metropolitana de Santiago,8,2019-10-24 12:24:59.94565-03,,,0.52963686,0.5349791
136,3cd54f2e-34e8-4031-90fe-c4dd806c06d7,Femenino,31,Metropolitana de Santiago,5,2019-10-24 12:25:00.846178-03,,,0.4986902,0.45421472
137,a81d916c-c319-43e0-9860-410a1099782b,Masculino,37,Metropolitana de Santiago,3,2019-10-24 12:25:24.122491-03,,,0.557651,0.46942374
138,a81d916c-c319-43e0-9860-410a1099782b,Masculino,37,Metropolitana de Santiago,3,2019-10-24 12:25:26.884184-03,,,0.557651,0.46942374
139,a92a9c79-f080-4f11-a821-74cd808b02d8,Masculino,37,Araucanía,2,2019-10-24 12:25:29.121316-03,,,0.457153,0.4442243
141,a92a9c79-f080-4f11-a821-74cd808b02d8,Masculino,37,Araucanía,2,2019-10-24 12:25:35.047724-03,,,0.457153,0.4442243
144,87071599-348e-4843-b6d7-bdee54f595f6,Femenino,30,Araucanía,2,2019-10-24 12:25:45.541496-03,,,0.47826442,0.43564844
146,87071599-348e-4843-b6d7-bdee54f595f6,Femenino,30,Araucanía,2,2019-10-24 12:25:50.419573-03,,,0.47826442,0.43564844
145,89d134c4-dd24-4ee1-abf6-7be1e7fad269,Masculino,20,Metropolitana de Santiago,5,2019-10-24 12:25:48.159466-03,,,0.4998332,0.4540405
147,4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago,5,2019-10-24 12:25:56.343862-03,,,0.44325352,0.4531248
149,4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago,5,2019-10-24 12:25:57.043219-03,,,0.44325352,0.4531248
150,4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago,5,2019-10-24 12:25:57.608868-03,,,0.44325352,0.4531248
153,4ca8b3c7-4d41-411f-83a0-7282dde8175a,Masculino,25,Metropolitana de Santiago,5,2019-10-24 12:25:59.696799-03,,,0.44325352,0.4531248
