id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
32,6775f361-f57a-4bf2-b325-93358fcaeb0f,Masculino,24,Metropolitana de Santiago,6,2019-10-24 12:00:31.251785-03,,,0.4987881,0.4995841
33,2a6f58e5-5a6b-4a68-a775-5bbf82f51777,Masculino,31,Metropolitana de Santiago,5,2019-10-24 12:00:34.398634-03,,,0.50400275,0.49848083
34,fc2ee481-71d9-419c-a4c5-b809d94d5390,Masculino,32,Fuera de Chile,0,2019-10-24 12:00:38.154072-03,,,0.49524894,0.50507814
35,7d1b56a9-f3fa-470d-a68f-e02c1b715872,Masculino,41,Metropolitana de Santiago,2,2019-10-24 12:00:42.205575-03,,,0.5021181,0.505317
36,f2138c7e-e801-4b97-b3ec-f19d61f8715e,Masculino,32,Metropolitana de Santiago,2,2019-10-24 12:01:35.18868-03,,,0.50327414,0.5002807
37,6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos,6,2019-10-24 12:01:37.935383-03,,,0.49644515,0.49871704
51,6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos,6,2019-10-24 12:04:07.063637-03,,,0.49644515,0.49871704
54,6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos,6,2019-10-24 12:04:09.478919-03,,,0.49644515,0.49871704
38,fab5c765-2b84-4a73-b9ab-342b8db0bb04,Masculino,38,Metropolitana de Santiago,2,2019-10-24 12:01:47.483095-03,,,0.4968165,0.50113463
39,2d39ea7f-6bb9-4e3f-b561-866dfef01722,Femenino,49,Biobío,3,2019-10-24 12:02:02.319914-03,,,0.50140595,0.5014503
40,3dfc0219-2214-4bc9-9214-1fe7ae678709,Masculino,22,Biobío,5,2019-10-24 12:02:03.211163-03,,,0.49817175,0.5050315
41,8aab2516-6a9a-4db1-91b3-916416cc132d,Femenino,38,Metropolitana de Santiago,3,2019-10-24 12:02:04.365444-03,,,0.49760696,0.5010683
42,f7f73c53-2630-4457-b1ae-2966305a0859,Masculino,41,Biobío,4,2019-10-24 12:02:07.640403-03,,,0.4972031,0.50134516
43,f817727e-71a0-4411-9c57-f5711b9fc23d,Masculino,35,Metropolitana de Santiago,5,2019-10-24 12:02:13.075306-03,,,0.50514865,0.5005176
44,366f6cef-85fb-4ed7-a889-3842bf91e4f8,Masculino,38,Metropolitana de Santiago,3,2019-10-24 12:02:38.08952-03,,,0.5035169,0.50109863
45,6d24f7d6-0609-4441-8834-4f4bf15447cc,Masculino,28,Metropolitana de Santiago,3,2019-10-24 12:03:10.817451-03,,,0.49893227,0.49907553
46,78153bd6-2c09-468e-89df-8684f1aea225,Masculino,36,Metropolitana de Santiago,8,2019-10-24 12:03:22.201857-03,,,0.4978594,0.5032
47,f610be3d-c861-43db-88e0-24bb955c7aa8,Masculino,29,Metropolitana de Santiago,7,2019-10-24 12:03:29.138916-03,,,0.5025243,0.50226283
48,23ddba35-86e1-4544-9989-7161e4ec2ae9,Masculino,32,Biobío,10,2019-10-24 12:03:44.207852-03,,,0.50110793,0.4983278
49,5f05a829-bda6-47e0-b174-a341f26d0737,Masculino,28,Metropolitana de Santiago,6,2019-10-24 12:03:56.569961-03,,,0.4997325,0.49531853
50,52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío,4,2019-10-24 12:04:06.723975-03,,,0.50017715,0.50257397
52,52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío,4,2019-10-24 12:04:07.857592-03,,,0.50017715,0.50257397
53,52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío,4,2019-10-24 12:04:09.46301-03,,,0.50017715,0.50257397
55,8579ed5b-7038-4f71-81f1-d6b0c51ed45d,Masculino,29,Metropolitana de Santiago,0,2019-10-24 12:04:17.137644-03,,,0.5019876,0.50122017
56,ad85e690-82be-41a8-a8c7-f969402f3e32,Femenino,30,Coquimbo,4,2019-10-24 12:04:31.913773-03,,,0.49991307,0.49759758
57,3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:04:41.745611-03,,,0.50499356,0.5025322
58,3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:04:43.33388-03,,,0.50499356,0.5025322
59,3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:04:44.455672-03,,,0.50499356,0.5025322
60,f96f087d-862a-4461-8f80-d78eaf7cc68b,Masculino,26,Biobío,3,2019-10-24 12:05:06.293097-03,,,0.5041626,0.50355685
62,f96f087d-862a-4461-8f80-d78eaf7cc68b,Masculino,26,Biobío,3,2019-10-24 12:05:09.411789-03,,,0.5041626,0.50355685
61,b2bc5e8a-1fe9-4ea4-b1f2-42b117e81fb5,Femenino,27,O'Higgins,4,2019-10-24 12:05:07.021616-03,,,0.496071,0.4993466
63,3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío,5,2019-10-24 12:05:12.87403-03,,,0.4986266,0.50117403
64,3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío,5,2019-10-24 12:05:14.59765-03,,,0.4986266,0.50117403
158,3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío,5,2019-10-24 12:26:16.206098-03,,,0.4986266,0.50117403
160,3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío,5,2019-10-24 12:26:27.979073-03,,,0.4986266,0.50117403
66,6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago,5,2019-10-24 12:05:39.89356-03,,,0.49862704,0.5032273
67,6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago,5,2019-10-24 12:05:43.105586-03,,,0.49862704,0.5032273
126,6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago,5,2019-10-24 12:24:02.811561-03,,,0.49862704,0.5032273
68,b5e78763-03ce-4d78-9137-942bcb4b5379,Masculino,43,Metropolitana de Santiago,2,2019-10-24 12:05:45.77762-03,,,0.50360626,0.50177723
69,161b47ab-69fe-4682-a92e-cbea6bf98329,Femenino,41,Metropolitana de Santiago,3,2019-10-24 12:05:52.742391-03,,,0.499012,0.49923444
72,129caebe-3e0c-48fe-a52b-ec2cd60e2533,Masculino,46,Metropolitana de Santiago,3,2019-10-24 12:06:20.569568-03,,,0.50166637,0.49786112
74,e77ee27e-319c-4f28-8f8f-e11aed27c3c9,Femenino,42,Metropolitana de Santiago,3,2019-10-24 12:06:21.074304-03,,,0.49843907,0.5020099
75,e77ee27e-319c-4f28-8f8f-e11aed27c3c9,Femenino,42,Metropolitana de Santiago,3,2019-10-24 12:06:23.104299-03,,,0.49843907,0.5020099
77,647dfd7e-bd53-4007-b487-5e9f67a25362,Femenino,29,Valparaíso,2,2019-10-24 12:06:23.542364-03,,,0.49809754,0.49840927
78,86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:06:42.499639-03,,,0.5009412,0.50251365
79,86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:06:47.088818-03,,,0.5009412,0.50251365
80,86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago,3,2019-10-24 12:06:52.30104-03,,,0.5009412,0.50251365
81,7f0d0ba0-ee9d-4416-9a13-f3211a99ffb3,Masculino,30,Metropolitana de Santiago,5,2019-10-24 12:06:54.417572-03,,,0.4960445,0.49945882
82,f8109a69-2430-44fb-b84a-eb7814ade4d3,Femenino,49,Metropolitana de Santiago,2,2019-10-24 12:07:24.437906-03,,,0.50029707,0.50055826
83,f8109a69-2430-44fb-b84a-eb7814ade4d3,Femenino,49,Metropolitana de Santiago,2,2019-10-24 12:07:28.661668-03,,,0.50029707,0.50055826
87,1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:07:47.213997-03,,,0.50291574,0.49898472
88,1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:07:50.953994-03,,,0.50291574,0.49898472
89,1d6ca286-e6b5-4319-a74c-6dfc7e1a9ebd,Masculino,33,Metropolitana de Santiago,1,2019-10-24 12:07:53.214218-03,,,0.50291574,0.49898472
90,021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago,1,2019-10-24 12:08:34.713807-03,,,0.49958506,0.5012734
91,021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago,1,2019-10-24 12:08:37.464779-03,,,0.49958506,0.5012734
92,021ecc96-5d57-4643-a8e6-4f38aebad842,Femenino,38,Metropolitana de Santiago,1,2019-10-24 12:08:41.255193-03,,,0.49958506,0.5012734
93,cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago,8,2019-10-24 12:09:13.061138-03,,,0.49961457,0.504404
94,cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago,8,2019-10-24 12:09:19.100551-03,,,0.49961457,0.504404
95,cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago,8,2019-10-24 12:09:19.451619-03,,,0.49961457,0.504404
240,cc1274c2-250c-45c9-8c6f-756743fd709f,Femenino,26,Metropolitana de Santiago,8,2019-10-24 12:38:46.794486-03,,,0.49961457,0.504404
97,641f2efd-19b8-4a40-aa48-dd9edec3d3cf,Masculino,40,Metropolitana de Santiago,10,2019-10-24 12:09:28.12486-03,,,0.4979108,0.5029857
